,Sentences,Epoch: 1 (ckpt: 1),Epoch: 2 (ckpt: 2),Epoch: 3 (ckpt: 3),Epoch: 4 (ckpt: 4),Epoch: 5 (ckpt: 5),Epoch: 6 (ckpt: 6),Epoch: 7 (ckpt: 7),Epoch: 8 (ckpt: 8),Epoch: 9 (ckpt: 9),Epoch: 10 (ckpt: 10),Epoch: 11 (ckpt: 11)
0,Hangisi?,3.384401798248291,2.0320451259613037,1.8081402778625488,2.012798309326172,1.9620720148086548,1.9679558277130127,1.8563628196716309,2.0435433387756348,1.9141837358474731,2.0615956783294678,1.9190717935562134
1,"Kürkü, tüyleri ve pulları geride bırakmayı severim.",2.297502040863037,2.083433151245117,2.00028657913208,1.9948372840881348,1.9379092454910278,1.940351963043213,1.8808956146240234,1.8640727996826172,1.74954092502594,1.7558534145355225,1.7105457782745361
2,"Bazıları Onu yakalamak istedilerse de, kimse Ona el sürmedi.",2.049669027328491,2.009986400604248,1.8224165439605713,1.8401172161102295,1.7001277208328247,1.765822410583496,1.5915030241012573,1.4585074186325073,1.5153112411499023,1.4968816041946411,1.4580776691436768
3,Sorun değil.,1.43833327293396,1.241507649421692,1.2979472875595093,1.1250675916671753,1.175395131111145,1.276919960975647,1.2236342430114746,1.1800059080123901,1.2565664052963257,1.1723440885543823,1.120823860168457
4,adresinden iPad için daha büyük bir Oyunlar göz atın iPadCasinoApp.com,2.4571712017059326,2.2260241508483887,2.223365068435669,1.9134546518325806,2.0877201557159424,2.0901124477386475,1.8758350610733032,1.7046942710876465,1.8260760307312012,1.8368806838989258,1.9308981895446777
5,Evim evim güzel evim.,3.348754644393921,3.0087332725524902,2.575364112854004,2.692871570587158,2.5870800018310547,2.6614089012145996,2.6188957691192627,2.6248013973236084,2.670633554458618,2.4589812755584717,2.490762948989868
6,"Geçen sene, New York Times hükümetin yaptığı bir araştırmayı yayınladı,",1.9077720642089844,1.664027452468872,1.6411384344100952,1.4730275869369507,1.407059669494629,1.4179037809371948,1.2695492506027222,1.2621186971664429,1.22359037399292,1.207060694694519,1.1997710466384888
7,Beşinci melek tasını canavarın tahtına boşalttı. Canavarın egemenliği karanlığa gömüldü. İnsanlar ıstıraptan dillerini ısırdılar.,2.267841339111328,2.143413543701172,2.036811590194702,1.8916294574737549,1.9163259267807007,1.827561378479004,1.7007064819335938,1.7807977199554443,1.7990437746047974,1.7502409219741821,1.7141358852386475
8,"Öyleyse, daha az eşyanın ve daha az alanın daha az ayak izi demek olacağını söyleyebiliriz.",1.8109822273254395,1.7404253482818604,1.8021754026412964,1.7289212942123413,1.7453007698059082,1.6913620233535767,1.6144009828567505,1.6227140426635742,1.5341426134109497,1.4826476573944092,1.4649803638458252
9,Hiçbir yere gitmiyor.,1.489469289779663,1.1429924964904785,1.1174566745758057,1.0094830989837646,1.0532784461975098,0.947571337223053,1.0239633321762085,1.0580335855484009,0.986939013004303,1.0044310092926025,0.9867884516716003
