,Sentences,Epoch: 1 (ckpt: 1),Epoch: 2 (ckpt: 2),Epoch: 3 (ckpt: 3),Epoch: 4 (ckpt: 4),Epoch: 5 (ckpt: 5),Epoch: 6 (ckpt: 6),Epoch: 7 (ckpt: 7),Epoch: 8 (ckpt: 8),Epoch: 9 (ckpt: 9),Epoch: 10 (ckpt: 10),Epoch: 11 (ckpt: 11)
0,Hangisi?,10.442547798156738,4.089842319488525,3.501905918121338,4.035643100738525,3.8962113857269287,3.9121341705322266,3.620936393737793,4.122568130493164,3.769005298614502,4.174477577209473,3.78179669380188
1,"Kürkü, tüyleri ve pulları geride bırakmayı severim.",6.611347675323486,5.544466972351074,5.178136348724365,5.1549906730651855,4.919291019439697,4.929180145263672,4.6940388679504395,4.629566192626953,4.213552474975586,4.235475063323975,4.080615520477295
2,"Bazıları Onu yakalamak istedilerse de, kimse Ona el sürmedi.",5.50065279006958,5.322056293487549,4.553260326385498,4.62079381942749,4.1128926277160645,4.343888282775879,3.7575795650482178,3.364072799682617,3.5268337726593018,3.4731814861297607,3.362870454788208
3,Sorun değil.,3.308093547821045,2.808518409729004,2.9435086250305176,2.549264907836914,2.658245325088501,2.8924736976623535,2.767073631286621,2.668459415435791,2.8439173698425293,2.65150785446167,2.5402820110321045
4,adresinden iPad için daha büyük bir Oyunlar göz atın iPadCasinoApp.com,7.293947219848633,6.050390720367432,6.037393093109131,4.699032783508301,5.410168647766113,5.420645236968994,4.558231830596924,3.9690945148468018,4.378455638885498,4.416879653930664,4.765787124633789
5,Evim evim güzel evim.,10.187686920166016,8.048575401306152,5.960214614868164,6.465991973876953,6.00881290435791,6.326505661010742,6.142797470092773,6.167994022369385,6.3670878410339355,5.498283386230469,5.62075138092041
6,"Geçen sene, New York Times hükümetin yaptığı bir araştırmayı yayınladı,",4.9102396965026855,4.006864547729492,3.9310896396636963,3.4167537689208984,3.2338242530822754,3.2632081508636475,2.8833835124969482,2.865567684173584,2.7749392986297607,2.73694109916687,2.7203500270843506
7,Beşinci melek tasını canavarın tahtına boşalttı. Canavarın egemenliği karanlığa gömüldü. İnsanlar ıstıraptan dillerini ısırdılar.,6.426170349121094,5.802603721618652,5.316726207733154,4.7197723388671875,4.816367149353027,4.478122234344482,4.035542964935303,4.309587478637695,4.374577522277832,4.2029032707214355,4.080246448516846
8,"Öyleyse, daha az eşyanın ve daha az alanın daha az ayak izi demek olacağını söyleyebiliriz.",4.096978664398193,3.877946138381958,4.068977355957031,3.843360424041748,3.8926966190338135,3.732577323913574,3.515450954437256,3.5382821559906006,3.302464485168457,3.172654628753662,3.1293046474456787
9,Hiçbir yere gitmiyor.,3.3350634574890137,2.520117998123169,2.4686107635498047,2.2622058391571045,2.3437600135803223,2.1517343521118164,2.288851499557495,2.352789878845215,2.2213377952575684,2.2529823780059814,2.2210676670074463
10,Biz neredeyiz böyle?,3.9601285457611084,3.293780565261841,3.8712246417999268,3.473198890686035,2.8787152767181396,3.140099287033081,3.00028657913208,2.9935038089752197,2.85863995552063,3.00307559967041,3.0181164741516113
11,"Bir kere farkettiğinizde aynı tür şiiri yazmak işten değil, ya da aynı hikayeyi tekrar tekrar anlatmak, bu türün size alkış getireceğini farkettiğinizde.",4.959773063659668,4.531808853149414,4.303213119506836,4.002368927001953,4.05751371383667,3.975918769836426,3.7837038040161133,3.750927686691284,3.7342371940612793,3.5872013568878174,3.5906026363372803
12,Kullanıcı adınızı giriniz,5.789224624633789,4.651203155517578,3.640814781188965,4.167718410491943,3.6534852981567383,2.943331480026245,2.499861240386963,2.7002665996551514,2.700927257537842,2.5475106239318848,2.385934591293335
13,"Hepimizin vücudu var, değil mi? Bir toplantı mı kaçırdım?",4.012691020965576,3.730555534362793,4.007166385650635,3.848757743835449,3.7602078914642334,3.48386812210083,3.4510045051574707,3.243011236190796,3.35555100440979,3.2264111042022705,3.1077992916107178
14,Giriş Kayıt ol,5.9601616859436035,5.104645252227783,6.64510440826416,6.125647068023682,5.709503650665283,6.2451066970825195,5.701189994812012,5.345546722412109,5.019430637359619,4.704094886779785,4.817032337188721
15,Bunu nereden biliyorsunuz?,2.1896021366119385,2.1020658016204834,1.8468244075775146,1.9197641611099243,1.860748052597046,1.8335678577423096,1.8723301887512207,1.823859691619873,1.8088483810424805,1.8352060317993164,1.8154364824295044
