,Sentences,Perplexities (ckpt 888),Perplexities (ckpt 1776),Perplexities (ckpt 2664),Perplexities (ckpt 3552),Perplexities (ckpt 4440),Perplexities (ckpt 5328),Perplexities (ckpt 6216),Perplexities (ckpt 7104),Perplexities (ckpt 7992),Perplexities (ckpt 8880)
0,"Es ist nicht, was du denkst.",30.026891708374023,18.48235511779785,13.572434425354004,17.715476989746094,14.224005699157715,13.422826766967773,14.388201713562012,14.407913208007812,15.829773902893066,14.83247184753418
1,"Ich lasse gern den Pelz, das Gefieder, und die Schuppen hinter mir.",313.0547180175781,241.31314086914062,229.35964965820312,200.87741088867188,221.2366485595703,194.5688934326172,163.69412231445312,161.87986755371094,188.47422790527344,181.5145721435547
2,Es wollten aber etliche ihn greifen; aber niemand legte die Hand an ihn.,585.9775390625,333.5860290527344,346.6918640136719,340.0572204589844,210.7692108154297,228.7239227294922,264.6997375488281,227.32542419433594,230.44847106933594,193.55101013183594
3,Ist okay.,77.2070541381836,120.99984741210938,90.54668426513672,142.3725128173828,69.61669158935547,64.68920135498047,81.93687438964844,71.86438751220703,88.29949188232422,78.66809844970703
4,Schauen Sie sich weitere große Spiele für Ihr iPad an iPadCasinoApp.com,955.1705322265625,762.8723754882812,324.18719482421875,310.3925476074219,427.8136291503906,211.98751831054688,262.0083923339844,288.15179443359375,282.4788818359375,237.56704711914062
5,Trautes Heim...,10658.162109375,4229.787109375,6953.23291015625,8533.1669921875,4376.74609375,3757.367919921875,5202.13134765625,6764.01025390625,5882.640625,8353.736328125
6,"Letztes Jahr hat die New York Times eine Studie veröffentlicht, die die Regierung durchgeführt hat.",297.3125915527344,105.15311431884766,100.7548599243164,61.51008605957031,61.14542770385742,74.02789306640625,39.28786087036133,39.08784484863281,34.50745391845703,30.85045623779297
7,"Und der fünfte Engel goß aus seine Schale auf den Stuhl des Tiers; und sein Reich ward verfinstert, und sie zerbissen ihre Zungen vor Schmerzen",877.1776123046875,498.3559875488281,405.7995910644531,355.7407531738281,296.74468994140625,374.76123046875,365.34661865234375,264.3803405761719,269.8013000488281,272.65045166015625
8,"Deshalb schlage ich Ihnen vor, dass weniger Zeug und weniger Platz zu einem kleineren Fussabdruck führen werden.",480.5705261230469,670.8284912109375,478.5960388183594,339.37994384765625,358.049072265625,315.0718994140625,270.7675476074219,204.67074584960938,237.88479614257812,239.14871215820312
9,Die bleibt schön hier.,376.0509948730469,355.4014587402344,358.05419921875,299.3551025390625,237.53884887695312,328.1193542480469,269.0602722167969,313.98187255859375,235.2566680908203,248.1138916015625
10,- Wo zum Teufel sind wir?,64.10082244873047,42.837364196777344,17.744760513305664,20.646728515625,16.672080993652344,18.632387161254883,17.30437469482422,13.52778434753418,11.033234596252441,10.602837562561035
