language	vocab_size	corpus_token_counts	bit_counts	character_counts
AR	200	603442	1066047	597954
AR	5000	204664	1066047	597954
AR	10000	182392	1066047	597954
AR	20000	166692	1066047	597954
AR	30000	159373	1066047	597954
AR	50000	151754	1066047	597954
DE	200	673252	886480	873744
DE	5000	231361	886480	873744
DE	10000	211708	886480	873744
DE	20000	198277	886480	873744
DE	30000	192394	886480	873744
DE	50000	187090	886480	873744
EN	200	624195	809721	808626
EN	5000	219281	809721	808626
EN	10000	204846	809721	808626
EN	20000	196357	809721	808626
EN	30000	192856	809721	808626
EN	50000	190122	809721	808626
TR	200	685285	868203	785552
TR	5000	214957	868203	785552
TR	10000	191946	868203	785552
TR	20000	175533	868203	785552
TR	30000	167767	868203	785552
TR	50000	160617	868203	785552
RU	200	779155	1307827	734208
RU	5000	227982	1307827	734208
RU	10000	203870	1307827	734208
RU	20000	186765	1307827	734208
RU	30000	178772	1307827	734208
RU	50000	170821	1307827	734208
language	vocab_size	corpus_token_counts	bit_counts	character_counts
AR	8680	186431	1066047	597954
language	vocab_size	corpus_token_counts	bit_counts	character_counts
TR	13222	184629	868203	785552
language	vocab_size	corpus_token_counts	bit_counts	character_counts
RU	21042	185619	1307827	734208
language	vocab_size	corpus_token_counts	bit_counts	character_counts
DE	42180	188651	886480	873744
