,Sentences,Epoch: 1 (ckpt: 1),Epoch: 2 (ckpt: 2),Epoch: 3 (ckpt: 3),Epoch: 4 (ckpt: 4),Epoch: 5 (ckpt: 5),Epoch: 6 (ckpt: 6),Epoch: 7 (ckpt: 7),Epoch: 8 (ckpt: 8),Epoch: 9 (ckpt: 9),Epoch: 10 (ckpt: 10)
0,"Всё не так, как тебе кажется.",0.8625590801239014,0.8453041911125183,0.8163396120071411,0.7177359461784363,0.6661656498908997,0.6515980362892151,0.6480997800827026,0.6422128081321716,0.5875399708747864,0.597751796245575
1,"Мне нравится видеть сквозь мех, перья и чешую.",1.346071481704712,1.3047999143600464,1.3753012418746948,1.3360462188720703,1.267686367034912,1.2718793153762817,1.2191462516784668,1.222368597984314,1.1615703105926514,1.1558576822280884
2,Некоторые из них хотели схватить Его; но никто не наложил на Него рук.,0.9951496720314026,0.9260602593421936,0.773682177066803,0.7850997447967529,0.7994281649589539,0.8301539421081543,0.7835128903388977,0.7788021564483643,0.7602885961532593,0.7621655464172363
3,Ничего.,1.0515803098678589,1.136447548866272,1.1051020622253418,1.1930439472198486,1.1829203367233276,1.1537007093429565,1.0949640274047852,1.1391322612762451,1.148931622505188,1.1213077306747437
4,Проверьте больше отличных игр для вашего IPad в iPadCasinoApp.com,1.5756980180740356,1.497600793838501,1.4376318454742432,1.3918213844299316,1.3540257215499878,1.3530752658843994,1.2108147144317627,1.224959135055542,1.2004672288894653,1.207602620124817
5,"- Дом, милый дом.",1.6029906272888184,1.6330376863479614,1.5135650634765625,1.526245355606079,1.6428965330123901,1.5086207389831543,1.5558133125305176,1.490067958831787,1.5511281490325928,1.547942042350769
6,"В прошлом году Нью-Йорк Таймс опубликовала исследование, проведённое по инициативе правительства.",0.9196711778640747,0.832309365272522,0.679214358329773,0.5804278254508972,0.5544795393943787,0.5546936988830566,0.49283379316329956,0.5061408281326294,0.49109652638435364,0.47971072793006897
7,"Пятый Ангел вылил чашу свою на престол зверя: и сделалось царство его мрачно, и они кусали языки свои от страдания,",1.50066077709198,1.4047832489013672,1.2551984786987305,1.2481341361999512,1.19277024269104,1.2384570837020874,1.2022563219070435,1.1378756761550903,1.1815681457519531,1.1907238960266113
8,"Я выдвигаю гипотезу, что меньше вещей и меньше пространства будут меньше воздействовать на окружающую среду.",1.020713210105896,0.9020344018936157,0.8366711735725403,0.7603756785392761,0.7088861465454102,0.7080941200256348,0.6578625440597534,0.6551448702812195,0.6387955546379089,0.6252404451370239
9,Она никуда не денется.,1.2811038494110107,0.9675257205963135,1.082151174545288,0.7742082476615906,0.8003352880477905,0.5861687064170837,0.5237861275672913,0.5490041375160217,0.5462649464607239,0.5352548360824585
10,Куда же мы попали?,1.1820636987686157,1.2076908349990845,1.0127480030059814,0.9484755396842957,0.9128904342651367,0.8395767211914062,0.873324990272522,0.9566093683242798,0.8951501846313477,0.9398314952850342
11,"Очень заманчиво — когда это понимаешь — очень заманчиво продолжать писать одни и теже стихи, или рассказывать одну и ту же историю, снова и снова, когда понимаешь, что это принесет аплодисменты.",1.1005916595458984,1.0264971256256104,0.9941243529319763,0.9761531352996826,0.9251811504364014,0.8847793340682983,0.8714943528175354,0.862819492816925,0.8485475778579712,0.8318048119544983
12,Дoбавить в избраннoе,2.247910976409912,2.083646774291992,1.9338161945343018,1.949267864227295,1.819887399673462,1.6847500801086426,1.8476306200027466,1.7364296913146973,1.7509534358978271,1.8604602813720703
13,"У нас же у всех есть руки и ноги, или я что-то пропустил?",1.1687366962432861,1.1576567888259888,1.1018167734146118,1.0663018226623535,1.015849232673645,1.0177900791168213,0.8925176858901978,0.8951351046562195,0.8791450262069702,0.8744453191757202
14,Диджитал. Завершено,1.8212451934814453,1.9164074659347534,1.707744836807251,1.8540873527526855,1.6989206075668335,1.7517428398132324,1.7994283437728882,1.7917470932006836,1.7219315767288208,1.701975703239441
