,Sentences,Epoch: 1 (ckpt: 1),Epoch: 2 (ckpt: 2),Epoch: 3 (ckpt: 3),Epoch: 4 (ckpt: 4),Epoch: 5 (ckpt: 5),Epoch: 6 (ckpt: 6),Epoch: 7 (ckpt: 7),Epoch: 8 (ckpt: 8),Epoch: 9 (ckpt: 9),Epoch: 10 (ckpt: 10)
0,It's not what you think.,2.547020196914673,2.388312816619873,2.2435240745544434,2.126533031463623,2.097963333129883,2.074066638946533,1.9594528675079346,1.9236124753952026,1.9482998847961426,1.9188127517700195
1,"I like to get past the fur, the feathers and the scales.",3.8913323879241943,3.2886769771575928,3.314554214477539,3.2991292476654053,3.37323260307312,3.1853017807006836,3.150041103363037,2.968442440032959,3.0158722400665283,2.9989852905273438
2,"Some of them would have arrested him, but no one laid hands on him.",3.5471770763397217,3.0335898399353027,2.8687493801116943,2.9288628101348877,2.9001293182373047,2.800597667694092,2.86228084564209,2.644028902053833,2.565190076828003,2.552762031555176
3,"Oh, it's okay.",3.693061113357544,3.031193733215332,2.753821611404419,2.8103649616241455,2.7920451164245605,2.8868610858917236,2.4578726291656494,2.489060401916504,2.4329073429107666,2.3776071071624756
4,Check out more great Games for your iPad at iPadCasinoApp.com,4.733017444610596,4.5338521003723145,4.47504186630249,4.177547931671143,3.5982327461242676,3.750499963760376,3.6587862968444824,3.719311475753784,3.523707628250122,3.510773181915283
5,"Home, sweet home.",5.54558801651001,5.4658308029174805,5.542957305908203,5.302487373352051,5.244710445404053,6.770026683807373,5.406665802001953,5.11046028137207,4.889758110046387,5.1683735847473145
6,"Last year, The New York Times published a study that the government had done.",3.2491371631622314,3.009535789489746,2.8256943225860596,2.6624109745025635,2.5665175914764404,2.56811785697937,2.5258309841156006,2.373947858810425,2.3845911026000977,2.3314433097839355
7,"And the fifth angel poured out his vial upon the seat of the beast; and his kingdom was full of darkness; and they gnawed their tongues for pain,",3.773705244064331,3.6268177032470703,3.427973985671997,3.4388604164123535,3.242277145385742,3.122781276702881,3.2474777698516846,3.2057416439056396,3.1874477863311768,3.155282974243164
8,So I'm going to suggest that less stuff and less space are going to equal a smaller footprint.,3.2469980716705322,3.1731390953063965,2.986910343170166,3.075742721557617,3.0309815406799316,2.868076801300049,2.9696552753448486,2.824927568435669,2.8463926315307617,2.8088955879211426
9,She's not going anywhere.,2.3382585048675537,2.144888162612915,2.180943012237549,2.114872455596924,2.104619264602661,2.0372347831726074,1.9041259288787842,1.7840924263000488,1.8784568309783936,1.8287969827651978
10,Where the hell are we?,3.2026124000549316,2.152139186859131,2.4714603424072266,2.186070203781128,2.0742785930633545,2.1973087787628174,2.1093790531158447,1.9246759414672852,2.0363805294036865,2.0034890174865723
