,Sentences,Epoch: 1 (ckpt: 1),Epoch: 2 (ckpt: 2),Epoch: 3 (ckpt: 3),Epoch: 4 (ckpt: 4),Epoch: 5 (ckpt: 5),Epoch: 6 (ckpt: 6),Epoch: 7 (ckpt: 7),Epoch: 8 (ckpt: 8),Epoch: 9 (ckpt: 9),Epoch: 10 (ckpt: 10),Epoch: 11 (ckpt: 11)
0,Hangisi?,18.767108917236328,11.268051147460938,10.026458740234375,11.161324501037598,10.880037307739258,10.912664413452148,10.293861389160156,11.331809997558594,10.61448860168457,11.431913375854492,10.641593933105469
1,"Kürkü, tüyleri ve pulları geride bırakmayı severim.",81.21786499023438,73.65042114257812,70.71114349365234,70.51850891113281,68.50607299804688,68.59242248535156,66.49061584472656,65.89591979980469,61.84716033935547,62.07030487060547,60.468658447265625
2,"Bazıları Onu yakalamak istedilerse de, kimse Ona el sürmedi.",85.24333953857422,83.59298706054688,75.79217529296875,76.5283203125,70.70632934570312,73.43849182128906,66.18875122070312,60.657623291015625,63.02002716064453,62.25355529785156,60.63974380493164
3,Sorun değil.,11.963720321655273,10.326570510864258,10.796022415161133,9.358049392700195,9.77666187286377,10.621121406555176,10.177903175354004,9.81501293182373,10.451825141906738,9.7512845993042,9.32275104522705
4,adresinden iPad için daha büyük bir Oyunlar göz atın iPadCasinoApp.com,119.22268676757812,108.00736999511719,107.87834167480469,92.84140014648438,101.29681396484375,101.41289520263672,91.01608276367188,82.7122802734375,88.60176086425781,89.12600708007812,93.6877670288086
5,Evim evim güzel evim.,48.74477767944336,43.79539489746094,37.48723602294922,39.19768524169922,37.657772064208984,38.739707946777344,38.12088394165039,38.20684814453125,38.873985290527344,35.793155670166016,36.25577163696289
6,"Geçen sene, New York Times hükümetin yaptığı bir araştırmayı yayınladı,",93.88804626464844,81.89253234863281,80.76608276367188,72.49276733398438,69.24626159667969,69.77993774414062,62.47890090942383,62.11322021484375,60.217105865478516,59.40361785888672,59.04487609863281
7,Beşinci melek tasını canavarın tahtına boşalttı. Canavarın egemenliği karanlığa gömüldü. İnsanlar ıstıraptan dillerini ısırdılar.,202.78128051757812,191.6554412841797,182.12350463867188,169.14190673828125,171.3501739501953,163.4132080078125,152.07034301757812,159.23179626464844,160.86328125,156.49952697753906,153.27114868164062
8,"Öyleyse, daha az eşyanın ve daha az alanın daha az ayak izi demek olacağını söyleyebiliriz.",114.23023223876953,109.77975463867188,113.67472839355469,109.05411529541016,110.08727264404297,106.68501281738281,101.8305892944336,102.35494995117188,96.7681884765625,93.52006530761719,92.40567779541016
9,Hiçbir yere gitmiyor.,21.680850982666016,16.637502670288086,16.26580047607422,14.694128036499023,15.33161735534668,13.79293441772461,14.904903411865234,15.400833129882812,14.365974426269531,14.620588302612305,14.36378288269043
10,Biz neredeyiz böyle?,26.149253845214844,22.648683547973633,25.71784782409668,23.656444549560547,20.089536666870117,21.740835189819336,20.87544822692871,20.83244514465332,19.956575393676758,20.893102645874023,20.988025665283203
11,"Bir kere farkettiğinizde aynı tür şiiri yazmak işten değil, ya da aynı hikayeyi tekrar tekrar anlatmak, bu türün size alkış getireceğini farkettiğinizde.",206.575439453125,194.93463134765625,188.2576904296875,178.90834045410156,180.67359924316406,178.05300903320312,171.66073608398438,170.53842163085938,169.963134765625,164.78103637695312,164.90328979492188
